1889,1899,1909
Aalten,Aalten,Aalten
Achtkarspelen,Achtkarspelen,Achtkarspelen
Alkmaar.,Alkmaar,Alkmaar
Amersfoort,Amersfoort,Amersfoort
Amsterdam,Amsterdam,Amsterdam
Apeldoorn,Apeldoorn,Apeldoorn
Arnhem,Arnhem,Arnhem
Assen,Assen,ASSEN 
Avereest.,Avereest,AVEREEST
Baarderadeel,Baarderadeel,BAARDERADEEL
Baarn,Baarn,BAARN
Barneveld,Barneveld,BARNEVELD
Barradeel,Barradeel,BARRADEEL
Beijerland (oud),Beijerland (Oud),BEIJERLAND (OUD)
Bemmel,Bemmel,BEMMEL
Bergen op Zoom,Bergen op Zoom,BERGEN OP ZOOM
Bolsward,Bolsward,Bolsward.
Borger ,Borger,Borger.
Boxtel,Boxtel,Boxtel.
Breda,Breda,Breda.
Brummen,Brummen,Brummen.
Dalfsen.,Dalfsen,Dalfsen.
Dantumadeel,Dantumadeel,Dantumadeel.
Delft,Delft,Delft
Deventer,Deventer,Deventer
Emmen,Emmen,EMMEN
Enkhuizen,Enkhuizen,Enkhuizen
Epe,Epe,EPE
Ermelo,Ermelo,ERMELO
Ferwerderadeel,Ferwerderadeel,FERWERDERADEEL
Franeker,Franeker,FRANEKER
Franekeradeel,Franekeradeel,FRANEKERADEEL
Gaasterland,Gaasterland,GAASTERLAND
Gendringen,Gendringen,GENDRINGEN
Goes,Goes,GOES
Gorinchem,Gorinchem,GORINCHEM
Gouda,Gouda,GOUDA
Groesbeek,Groesbeek,GROESBEEK
Groningen,Groningen,GRONINGEN
Haarlem.,Haarlem,HAARLEM
Haarlemmermeer,Haarlemmermeer,HAARLEMMERMEER
Harderwijk,Harderwijk,HARDERWIJK
Harlingen,Harlingen,HARLINGEN
Haskerlands,Haskerland,HASKERLAND
Heerde,Heerde,HEERDE
Heerlen,Heerlen,Heerlen
Hellendoorn.,Hellendoorn,Hellendoorn
Helmond,Helmond,Helmond
Hilversum,Hilversum,Hilversum
Hoogeveen,Hoogeveen,Hoogeveen
Hoorn,Hoorn,Hoorn
Idaarderadeel,Idaarderadeel,Idaarderadeel
Kampen.,Kampen,Kampen
Katwijk,Katwijk,Katwijk
Kerkrade,Kerkrade,Kerkrade
Kollumerland,Kollumerland,Kollumerland
Leeuwarden,Leeuwarden,Leeuwarden.
Leeuwarderdeel,Leeuwarderadeel,Leeuwarderadeel.
Lonneker,Lonneker,Lonneker.
Loon op Zand,Loon op Zand,Loon op Zand.
Maasbree,Maasbree,Maasbree.
Maassluis,Maassluis,Maassluis.
Maastricht,Maastricht,Maastricht.
Menaldumadeel,Menaldumadeel,MENALDUMADEEL
Meppel,Meppel,MEPPEL
Middelburg,Middelburg,MIDDELBURG
Nieuwer Amstel,Nieuwer-Amstel,NIEUWER-AMSTEL
Nijkerk,Nijkerk,NIJKERK
Nijmegen,Nijmegen,NIJMEGEN
Odoorn.,Odoorn,ODOORN
Oldenbroek,Oldebroek,OLDEBROEK
Oostdongeradeel,Oostdongeradeel,OOSTDONGERADEEL
Oosterhout,Oosterhout,OOSTERHOUT
Oostellingwerf,Ooststellingwerf,OOSTSTELLINGWERF
Opsterland,Opsterland,OPSTERLAND
Oss,Oss,OSS
Oude Pekela,Oude-Pekela,OUDE-PEKELA
Purmerend,Purmerend,PURMEREND
Putten,Putten,PUTTEN
Renkum,Renkum,RENKUM
Rheden.,Rheden,RHEDEN
Rhenen,Rhenen,RHENEN
Ridderkerk,Ridderkerk,RIDDERKERK
Roermond,Roermond,Roermond
Rotterdam,Rotterdam,Rotterdam
Scheemda,Scheemda,Scheemda.
Schiedam,Schiedam,Schiedam.
Schijndel,Schijndel,Schijndel.
Schoterland,Schoterland,Schoterland.
Sittard,Sittard,Sittard.
Sliedrecht,Sliedrecht,Sliedrecht
Smallingerland,Smallingerland,Smallingerland
Sneek,Sneek,Sneek
Staphorst,Staphorst,Staphorst
Steenwijk,Steenwijk,Steenwijk
Texel,Texel,Texel
Tiel,Tiel,Tiel
Tietjerksteradeel,Tietjerksteradeel,Tietjerksteradeel
Tilburg,Tilburg,Tilburg
Utingeradeel,Utingeradeel,UITINGERADEEL
Utrecht,Utrecht,UTRECHT
Valburg,Valburg,VALBURG
Veghel,Veghel,VEGHEL
Venlo,Venlo,VENLO
Vlaardingen,Vlaardingen,VLAARDINGEN 
Vlagtwedde,Vlagtwedde,VLAGTWEDDE
Vlissingen,Vlissingen,VLISSINGEN
Voorst,Voorst,VOORST
Vught,Vught,VUGHT
Wageningen,Wageningen,WAGENINGEN
Weesp,Weesp,WEESP
WESTONGERADEEL,Westdongeradeel,WESTDONGERADEEL
Weststellingwerf,Weststellingwerf,WESTSTELLINGWERF
Wijmbritseradeel ,Wijmbritseradeel,WIJMBRITSERADEEL
Winschoten,Winschoten,Winschoten
Winterswijk,Winterswijk,Winterswijk
Woensel,Woensel,Woensel
Wonseradeel,Wonseradeel,Wonseradeel
Zaandam,Zaandam,Zaandam
Zeist,Zeist,Zeist
Zevenbergen,Zevenbergen,Zevenbergen
Zierikzee,Zierikzee,Zierikzee
Zutphen,Zutphen,Zutphen
Zwijndrecht,Zwijndrecht,Zwijndrecht
Zwolle,Zwolle,Zwolle
