1899,1889,1909
Hemelumer Oldephaert & Noordwolde,Almelo,GEERTRUIDENBERG
Aalten,Aalten,Aagterkere
Achtkarspelen,Achtkarspelen,Aalsmeer
Alblasserdam,Alkmaar.,Aalst
Alkmaar,Ambt Hardenberg,Aalten
Almelo (Ambt-),Amersfoort,Aar (Ter)
Almelo (Stad-),Amsterdam,Aardenburg
Amersfoort,Apeldoorn,Aarlanderveen
Amsterdam,Arnhem,Aarle Rixtel
Apeldoorn,Assen,Abbekerk
Arnhem,Avereest.,Abbenbroek
Assen,Baarderadeel,Abcoude - Haambrugge
Avereest,Baarn,Abcoude - Proosdij
Baarderadeel,Barneveld,Ablas (Oud-)
Baarn,Barradeel,Ablasserdam
Barneveld,Beijerland (oud),Achtkarspelen
Barradeel,Bemmel,Achttienhoven
Beijerland (Oud),Bergen op Zoom,Adorp
Bemmel,Bolsward,Aduard
Bergen op Zoom,Borger ,Aengwirden
Bergh,Boxtel,Akersloot
Beverwijk,Breda,Alem c.a.
Bildt ('t),Brummen,Alkemade
Bloemendaal,Charlois,Alkmaar
Bolsward,Culemborg,Almelo (Ambt)
Borger,Dalfsen.,Almelo (Stad)
Borne,Dantumadeel,Almkerk
Boxtel,Delft,Alphen en Riel (N.-Br.)
Breda,Den Helder,Amby
Brummen,Deurne & Liessel,Ameide
Bussum,Deventer,Ameland
Culenborg,Dordrecht,Amerongen
Dalfsen,Edam,Amersfoort
Dantumadeel,Ede,Ammerstol
Delft,Eibergen,Ammerzoden
Delfzijl,Elst.,Amstenrade
Deurne en Liesel,Emmen,Amsterdam
Deventer,Enkhuizen,Andel c.a.
Dongen,Epe,Andijk 
Dordrecht,Ermelo,Angerlo
Dubbeldam,Etten & Leur,Ankeveen
Echt,Ferwerderadeel,Anloo
Edam,Franeker,Anna - Paulowna
Ede,Franekeradeel,Annaland (St.)
Eibergen,Gaasterland,Apeldoorn
Elst,Gemeente Bedum,Aplhen (Z.-H.)
Emmen,Gendringen,Appeltern
Enkhuizen,Goes,Appingedam
Enschede,Gorinchem,Arcen en Velden
Epe,Gouda,Arkel
Ermelo,Groesbeek,Arnemuiden
Etten en Leur,Groningen,Arnhem
Ferwerderadeel,Haarlem.,Asperen
Franeker,Haarlemmermeer,ASSEN 
Franekeradeel,Harderwijk,ASSENDELFT
Gaasterland,Harlingen,ASTEN
Gendringen,Haskerlands,AVEHORN
Ginneken c.a.,Heerde,AVEREEST
Goes,Heerlen,AXEL
Gorinchem,Hellendoorn.,BAARDERADEEL
Gouda,Helmond,BAARDWIJK
Gravenhage ('s),Hengelo,BAARLAND
Gravenzande ('s),Hilversum,BAARLE-NASSAU
Groesbeek,Hoogeveen,BAARN
Groningen,Hoorn,BAEXEM
Grootegast,Idaarderadeel,BAFLO
Haaksbergen,Kampen.,BAKEL c.a.
Haarlem,Katwijk,BALGOIJ
Haarlemmermeer,Kerkrade,BARENDRECHT
Hardenberg (Ambt-),Kollumerland,BARNEVELD
Harderwijk,Kralingen,BARRADEEL
Hardinxveld,Leeuwarden,BARSINGERHORN
Harlingen,Leeuwarderdeel,BARWOUTSWAARDER
Haskerland,Lonneker,BATENBURG
Heerde,Loon op Zand,BATHEM
Heerlen,Maasbree,BEDUM
Helder (den),Maassluis,BEEGDEN
Hellendoorn,Maastricht,BEEK
Helmond,Menaldumadeel,BEEK EN DONK
Hengelo,Meppel,BEEMSTER
Hennaarderadeel,Middelburg,BEERS
Hertogenbosch ('s),Neuzen,BEERTA
Hillegersberg,Nieuwer Amstel,BEESD
Hillegom,Nijkerk,BEESEL
Hilversum,Nijmegen,BEETS
Hontenisse,Norg.,BEIJERLAND (NIEUW)
Hoogeveen,Odoorn.,BEIJERLAND (OUD)
Hoogezand,Oldenbroek,BEIJERLAND (ZUID)
Hoorn,Oostdongeradeel,BEILEN
Idaarderadeel,Oostellingwerf,Belfeld
Kampen,Oosterhout,BELLINGWOLDE
Katwijk,Opsterland,BEMELEN
Kerkrade,Oss,BEMMEL
Kollumerland,Oude Pekela,BENNEBROEK
Leek,Princenhage,BENSCHOP
Leerdam,Provincie Friesland,BENTHUIZEN
Leeuwarden,Purmerend,BERG EN TERBLIJT
Leeuwarderadeel,Putten,BERGAMBACHT
Leiden,Renkum,BERGEIJK
Lemsterland,Rheden.,BERGEN (Limb.)
Lonneker,Rhenen,BERGEN (N.H.)
Loon op Zand,Ridderkerk,BERGEN OP ZOOM
Loosduinen,Roermond,BERGH
Losser,Rosendaal C.A.,BERGHAREN
Maasbree,Rotterdam,BERGHEM
Maassluis,s-Gravenhage,BERKEL C.A. (Z.H.)
Maastricht,s-Gravenzande,BERKENWOUDE
Meerssen,s-Hertogenbosch,BERKERL (N. BR.)
Menaldumadeel,Scheemda,BERKHOUT
Meppel,Schiedam,BERLICOM
Middelburg,Schijndel,BERSCHENHOEK
Naaldwijk,Schoterland,BESOIJEN
Nederweert,Sittard,BEST
Nieuwe-Pekela,Sliedrecht,BEUGEN.c.a.
Nieuwer-Amstel,Sloten,BEUNINGEN
Nijkerk,Smallingerland,BEUSINCHEM
Nijmegen,Smilde,BEVERWIJK
Noordwijk,Sneek,BIERUM
Norg,Stad Almelo,BIERVLIET
Odoorn,Staphorst,BIGGEKERKE
Oldebroek,Steenbergen,Bingelrade
Oldenzaal,Steenwijk,Bladel. E.a.
Onstwedde,t Bildt,Blankenham.
Oostdongeradeel,Texel,Blaricum.
Oosterhout,Tiel,Bleiswijk.
Ooststellingwerf,Tietjerksteradeel,Bleskensgraaf.
Opsterland,Tilburg,Bloemendaal.
Oss,Uden,Blokker.
Oude-Pekela,Utingeradeel,Blokzijl.
Princenhage ('s),Utrecht,Bodegraven.
Purmerend,Valburg,Boekel.
Putten,Veghel,Bokhoven.
Raalte,Velsen,BOLDT (DE)
Raamsdonk,Venlo,Bolsward.
Renkum,Vlaardingen,Bommel (DEN).
Rheden,Vlagtwedde,Boosteren
Rhenen,Vlissingen,Borculo.
Ridderkerk,Voorst,Borger.
Rijssen,Vught,Borgharen.
Roermond,Wageningen,Borkel en Schaft.
Roosendaal en Nispen,Weesp,Born.
Rotterdam,WESTONGERADEEL,Borne.
Sappemeer,Weststellingwerf,Borsselen.
Scheemda,Wijmbritseradeel ,Boschkapelle.
Schiedam,Winschoten,Boscholtz.
Schijndel,Winterswijk,Boskoop.
Schoterland,Woensel,Bovenkarspel.
Sittard,Wonseradeel,Boxmeer.
Sliedrecht,Zaandam,Boxtel.
Slochteren,Zeist,Brakel.
Sloten,Zevenbergen,Brandwijk.
Smallingerland,Zierikzee,Breda.
Sneek,Zoeterwoude,Breskens.
Staphorst,Zutphen,Breukelen St. Pieters.
Steenbergen c.a.,Zwijndrecht,Breukelen- Nijenrode.
Steenwijk,Zwolle,Brielle.
Steenwijkerwold,Zwollerkerspel,Broek in Waterland.
Ter Neuzen,,Broek op Langendijk.
Texel,,Broekhuizen.
Tiel,,Broeksittard.
Tietjerksteradeel,,Brouwershaven.
Tilburg,,Bruinisse.
Tubbergen,,Brummen.
Uden,,Brunssum.
Utingeradeel,,Budel.
Utrecht,,Buggenum.
Vaals,,Buiksloot.
Valburg,,Bunde.
Veendam,,Bunnik.
Veenendaal,,Bunschoten.
Veghel,,Buren.
Velzen,,Burgh.
Venlo,,Bussum.
Venray,,Buurmalsen.
Vlaardingen,,Cadier en Keer.
Vlagtwedde,,Cadzand.
Vlissingen,,Callantsoog.
Voorst,,Capelle A/D Ijsel.
Vught,,Capelle. (N. Br.)
Wageningen,,Castricum.
Wamel,,Chaam.
Weert,,Clinge.
Weesp,,Coevorden.
Westdongeradeel,,Colijnsplaat.
Weststellingwerf,,Cothen.
Wierden,,Cromvoirt.
Wijmbritseradeel,,Cuijck. C.A.
Wildervank,,Culemborg.
Winschoten,,Dalen.
Winterswijk,,Dalfsen.
Wisch,,Dantumadeel.
Woensel,,Deil
Woerden,,Delden (AMBT)
Wonseradeel,,Delden (STAD)
Wormerveer,,Delft
Zaandam,,Delftzijl
Zeist,,Denekamp
Zevenbergen,,Deurne en Liesel 
Zierikzee,,Deursen en Dennenburg
Zutphen,,Deventer
Zwijndrecht,,Didam
Zwolle,,ELKERZEE
Zwollerkerspel,,ELLEMEET
,,ELLEWOUTSDIJK
,,ELSLOO
,,ELST
,,EMMEN
,,EMPEL e.a.
,,ENGELEN
,,Enkhuizen
,,ENSCHEDE
,,EPE
,,ERMELO
,,ERP
,,ERSCHAREN
,,ESCH
,,Est en Opijnen
,,ETTEN EN LEUR
,,EVERDINGEN
,,EWIJK
,,EZINGE
,,FERWERDERADEEL
,,FIJNAART c.a. 
,,FINSTERWOLDE
,,FRANEKER
,,FRANEKERADEEL
,,GAASTERLAND
,,Gameren
,,GASSEL
,,Gasselte
,,Geertruid (St.)
,,GEERVLIET
,,GEFFEN
,,GELDERMALSEN
,,GELDROP
,,Geleen
,,GEMERT
,,GENDEREN c.a.
,,GENDRINGEN
,,GENEMUIDEN
,,GENNEP
,,GENT
,,GESTEL c.a
,,GEULLE
,,GIESSEN
,,GIESSEN- NIEUWKERK
,,Giessendam
,,GIETEN
,,GIETHOORN
,,GILZE-RIJEN
,,GINNEKEN  c.a.
,,GIORLE
,,GOEDEREEDE
,,GOES
,,GOOR
,,GORINCHEM
,,GORSSEL
,,GOUDA
,,GOUDERAK
,,GOUDERIAAN
,,GOUDSWAARD
,,GRAAUW EN LANGENDAM
,,GRAFHORST
,,GRAFT
,,GRAMSBERGEN
,,GRATHEM
,,GRAVE
,,GREVENBICHT
,,GRIJPSKERK
,,GRIJPSKERKE
,,GROEDE
,,GROENLO
,,GROESBEEK
,,GRONINGEN
,,GRONSVELD
,,GROOT-AMMERS
,,GROOTEBROEK
,,GROOTEGAST
,,GRUBBENVORST
,,GULPEN
,,HAAFTEN
,,HAAKSBERGEN
,,HAAMSTEDE
,,HAARDENBERG (AMBT)
,,HAAREN
,,HAARLEM
,,HAARLEMMERLIEDE EN SPAARNWOUDE
,,HAARLEMMERMEER
,,HAARZUILENS
,,HAASTRECHT
,,HAELEN
,,HAGESTEIN
,,HALSTEREN
,,HAM (DEN)
,,HAPS
,,HARDENBERG (STAD)
,,HARDERWIJK
,,HARDINXVELD
,,HAREN
,,HARENKARSPEL
,,HARLINGEN
,,HARMELEN
,,HASKERLAND
,,HASSELT
,,HATTEM
,,HAVELTE
,,HAZERSWOUDE
,,HEDEL
,,HEDIKHUIZEN
,,HEEL EN PANHEEL
,,HEEMSKERK
,,HEEMSTEDE
,,HEENVLIET
,,HEER
,,HEERDE
,,HEEREWAARDEN
,,Heerhugowaard
,,Heerjansdam
,,Heerlen
,,Heesch 
,,Heeschwijk
,,Heeze
,,Hei- en boeicop
,,Heijthuizen
,,Heilo
,,Heinenoord
,,Heinkenszand
,,Heino
,,Hekelingen
,,Hekendorp
,,Helden
,,Helder
,,Hellendoorn
,,Hellevoetsluis
,,Helmond
,,Helvoirt
,,"Hemelumer, Oldephaert en Noordwolde"
,,Hemmen
,,Hendrik-Ido-Ambacht
,,Hengelo (Geld.)
,,Hengelo (Ov.)
,,Hengstdijk
,,Hennaarderadeel 
,,Hensbroek
,,Herkingen
,,Herpen
,,Herpt en Bern
,,Herten
,,Herwen en Aerdt
,,Herwijnen
,,Heteren
,,Heukelem
,,Heumen
,,Heusden
,,Hillegom
,,Hilligersberg
,,Hilvarenbeek
,,Hilversum
,,Hindeloopen
,,Hoedekenskerke
,,Hoek
,,Hoenkoop
,,Hoensbroek
,,Hoevelaken
,,Hoeven
,,Hof van Delft
,,Holten
,,Hontenisse
,,Hoofdplaat
,,Hoogblokland
,,Hooge- en Lagemierde
,,Hooge- en Lagezwaluwe
,,Hoogeloon
,,Hoogeveen
,,Hoogezand
,,Hoogkarspel
,,Hoogkerk
,,Hoogland
,,Hoogvliet
,,Hoogwoud
,,Hoorn
,,Hoornaar
,,Horn
,,Horssem
,,Horst
,,Houten
,,Houthem
,,Huijbergen
,,Huisseling
,,Huissen
,,Huizen
,,Hulsberg
,,Hulst
,,Hummelo en keppel
,,Hunsel
,,Hurwenen
,,Idaarderadeel
,,Ijlst
,,Ijsselmonde
,,Ijsselmuiden
,,Ijsselstein
,,Ijzendijke
,,Ijzendoorn
,,Ilpendam
,,Itteren
,,Ittervoort
,,Jaarsveld
,,Jabeek
,,Jansteen (st)
,,Jisp
,,Jupthaas
,,Kamerik
,,Kampen
,,Kamperveen
,,Kantens
,,Kapelle
,,Kats
,,Kattendijke
,,Katwijk
,,Katwoude
,,Kedichem
,,Kerkrade
,,Kerkwerve
,,Kerkwijk
,,Kessel
,,Kesteren
,,Kethel c.a.
,,Klaaswaal
,,Klimmen
,,Kloetinge
,,Kloosterburen
,,Klundert
,,Kockengen
,,Koedijk
,,Koewacht
,,Kollumerland
,,Koog aan de zaan
,,Kortenhoef
,,Kortgene
,,Koudekerk
,,Koudekerke
,,Krabbendiijke
,,Krimpen a/d ijssel
,,Krimpen a/d lek
,,Krommenie
,,Kruiningen
,,Kruis (St.)
,,Kuinre
,,Kwadijk
,,Laag-nieuwkoop
,,Landsmeer
,,Langbroek.
,,Lange Ruige Weide.
,,Langerak.
,,Laren. (Geld.)
,,Laren. (N.H.)
,,Laurens (St.).
,,Leek.
,,Leende.
,,Leens.
,,Leerbroek.
,,Leerdam.
,,Leersum.
,,Leeuwarden.
,,Leeuwarderadeel.
,,Leiden.
,,Leiderdorp.
,,Leimuiden.
,,Lekkerkerk.
,,Lekkerland (Nieuw)
,,Lemsterland.
,,Leusden.
,,Lexmond.
,,Lichtenvoorde.
,,Liempde.
,,LIENDEN.
,,Lier (De).
,,Lierop.
,,Lieshout.
,,Limbricht.
,,Limmen.
,,Linden.
,,Linne.
,,Linschoten.
,,Lisse.
,,Lith.
,,Lithoyen.
,,Lochem.
,,Loenen.
,,Loenersloot.
,,Lonneker.
,,Loon op Zand.
,,Loosdrecht.
,,Loosduinen.
,,Lopik.
,,Loppersum.
,,Losser.
,,Luyksgestel.
,,Maarheeze.
,,Maarn.
,,Maarssen.
,,Maarsseveen.
,,Maarten (St.)
,,Maartensdijk (St.).
,,Maartensdijk.
,,Maasbracht.
,,Maasbree.
,,Maasdam.
,,Maashees.
,,Maasland.
,,Maasniel.
,,Maassluis.
,,Maastricht.
,,Made. C.a.
,,Margraten.
,,Markelo.
,,Marken.
,,Marum.
,,MAURIK
,,MEDEMBLIK
,,MEEDEN
,,MEERKERK
,,MEERLO
,,MEERSSEN
,,meeuwen
,,MEGEN c.a.
,,MEIJEL
,,MELICK EN HERKENBOSCH
,,MELISKERKE
,,MELLISSANT
